Time [s],Channel 0
12.145432480,1
12.145433760,0
12.145435840,1
12.145436960,0
12.145882080,1
12.146272800,0
12.146274880,1
12.146276000,0
12.146278240,1
12.146279200,0
12.146724320,1
12.147115040,0
12.147117120,1
12.147118240,0
12.147120480,1
12.147121440,0
12.147566720,1
12.147957440,0
12.147959360,1
12.147960640,0
12.147962720,1
12.147963840,0
12.148408960,1
12.149696160,0
12.149698240,1
12.149699360,0
12.149701600,1
12.149702560,0
12.150123840,1
12.151435200,0
12.151437120,1
12.151438400,0
12.151440480,1
12.151441600,0
12.151835520,1
12.153147040,0
12.153148960,1
12.153150240,0
12.153152320,1
12.153153440,0
12.153547680,1
12.153934880,0
12.153936960,1
12.153938080,0
12.153940320,1
12.153941280,0
12.154387360,1
12.155701120,0
12.155703040,1
12.155704320,0
12.155706400,1
12.155707520,0
12.156100640,1
12.156488960,0
12.156490880,1
12.156492160,0
12.156494240,1
12.156495360,0
12.156937920,1
12.158254880,0
12.158256960,1
12.158258240,0
12.158260480,1
12.158261440,0
12.158654720,1
12.159966560,0
12.159968640,1
12.159969920,0
12.159972000,1
12.159972960,0
12.160367680,1
12.195039680,0
12.195041760,1
12.195043040,0
12.198532320,1
12.200229440,0
12.200231360,1
12.200232640,0
12.200234880,1
12.200235840,0
12.200677920,1
12.201995360,0
12.201997280,1
12.201998560,0
12.202000960,1
12.202001760,0
12.202391360,1
12.202783200,0
12.202785280,1
12.202786400,0
12.202788960,1
12.202789760,0
12.203235840,1
12.203625440,0
12.203627520,1
12.203628640,0
12.203630880,1
12.203631840,0
12.204077120,1
12.204467680,0
12.204469600,1
12.204470880,0
12.204473280,1
12.204474080,0
12.204915680,1
12.206233440,0
12.206235520,1
12.206236640,0
12.206239040,1
12.206240000,0
12.206629600,1
12.207021440,0
12.207023520,1
12.207024800,0
12.207474080,1
12.207864000,0
12.207866080,1
12.207867200,0
12.207869600,1
12.207870560,0
12.208312000,1
12.208706400,0
12.208708320,1
12.208709600,0
12.208711840,1
12.208712800,0
12.209154720,1
12.209548640,0
12.209550720,1
12.209551840,0
12.209554240,1
12.209555200,0
12.209996960,1
12.211314720,0
12.211316800,1
12.211317920,0
12.211320640,1
12.211321280,0
12.211711040,1
12.212102720,0
12.212104800,1
12.212105920,0
12.212108480,1
12.212109280,0
12.212555200,1
12.213868800,0
12.213870720,1
12.213872000,0
12.213874240,1
12.213875200,0
12.214264800,1
12.215526080,0
12.215528160,1
12.215529280,0
12.215531840,1
12.215532640,0
12.215974720,1
12.216368480,0
12.216370400,1
12.216371680,0
12.216374080,1
12.216374880,0
12.216816480,1
12.218134400,0
12.218136320,1
12.218137600,0
12.218140160,1
12.218140960,0
12.218530720,1
12.219791680,0
12.219793600,1
12.219794880,0
12.219797120,1
12.219798080,0
12.220240320,1
12.221503360,0
12.221505440,1
12.221506560,0
12.221509280,1
12.221509920,0
12.221952000,1
12.223215040,0
12.223217120,1
12.223218240,0
